name,full.name,place.of.birth,publisher
Rorschach,Walter Joseph Kovacs,-,DC Comics
Azazel,,"Isla des Demonas, Caribbean Sea",Marvel Comics
Sabretooth,Victor Creed,-,Marvel Comics
Sage,Tessa,Place of birth unknown,Marvel Comics
Sandman,William Baker,"Queens, New York",Marvel Comics
Sasquatch,Walter Langkowski,"Edmonton, Alberta, Canada",Marvel Comics
Sauron,Sauron,-,J. R. R. Tolkien
Savage Dragon,Kurr,-,Image Comics
Scarecrow,Jonathan Crane,-,DC Comics
Scarlet Spider,Benjamin Reilly,Place of birth unknown,Spider-Carnage
Scarlet Spider II,Kaine Parker,-,Marvel Comics
Scarlet Witch,Wanda Maximoff,"Wundagore Mountain, Transia",Marvel Comics
Azrael,Michael Washington Lane,Gotham City,DC Comics
Scorpia,Elaine Coll,-,Marvel Comics
Scorpion,MacDonald Gargan,-,Venom III
Sebastian Shaw,Sebastian Hiram Shaw,-,Marvel Comics
Sentry,Robert Reynolds,-,Marvel Comics
Shadow King,Amahl Farouk,-,Marvel Comics
Shadow Lass,Tasmia Mallor,Talok VIII,DC Comics
Shadowcat,Kitty Pryde,"Deerfield, Illinois",Marvel Comics
Shang-Chi,Shang-Chi,-,Marvel Comics
Shatterstar,Gaveedra Seven,Mojoworld,Marvel Comics
She-Hulk,Jennifer Walters,"Los Angeles, California",Marvel Comics
Aztar,Aztar,-,Spectre
She-Thing,Sharon Ventura,-,Ms Marvel II
Shocker,Herman Schultz,-,Marvel Comics
Shriek,Frances Louise Barrison,-,Marvel Comics
Shrinking Violet,,-,DC Comics
Sif,Sif,-,Marvel Comics
Silk,Cindy Moon,-,Marvel Comics
Silk Spectre,Sally Juspeczyk,-,DC Comics
Silk Spectre II,Laurie Juspeczyk,-,DC Comics
Silver Surfer,Norrin Radd,Zenn-La,Marvel Comics
Silverclaw,Maria de Guadalupe Santiago,"The village of Kamekeri, Costa Verde",Marvel Comics
Absorbing Man,Carl Creel,"New York City, New York",Marvel Comics
Bane,,-,DC Comics
Simon Baz,Simoon Baz,"Dearborn, Michigan",DC Comics
Sinestro,Thaal Sinestro,"Korugar City, Korugar",DC Comics
Siren,Hila,-,DC Comics
Siren II,La Sirene la Bailene,Atlantis,DC Comics
Siryn,Theresa Rourke Cassidy,"Cassidy Keep, County Mayo, Ireland",Marvel Comics
Skaar,,Sakaar,Marvel Comics
Snake-Eyes,,-,Marvel Comics
Snowbird,Narya,"Near Resolute Bay, Northwest Territories, Canada",Marvel Comics
Sobek,Yurrd the Unknown,Nile River; Bioengineered at Oolong Island,DC Comics
Solomon Grundy,Cyrus Gold,Gotham City,DC Comics
Banshee,Sean Cassidy,"Cassidy Keep, Ireland",Marvel Comics
Songbird,Melissa Joan Gold,"Shoshoni, Wyoming",Marvel Comics
Space Ghost,Thaddeus Bach,-,DC Comics
Spawn,Al Simmons,"Detroit, Michigan (8th level of Hell after rebirth)",Image Comics
Spectre,Aztar,-,Aztar
Speedball,Robert Baldwin,"Springdale, Connecticut",Penance II
Speedy,Thea Queen,Starling City,DC Comics
Speedy,"Roy William Harper, Jr.",-,Arsenal
Spider-Carnage,Benjamin Reilly,-,Scarlet Spider
Spider-Girl,May 'Mayday' Parker,"New York City, New York",Marvel Comics
Spider-Gwen,Gwen Stacy,-,Marvel Comics
Bantam,Roberto Velasquez,-,Marvel Comics
Spider-Man,Peter Parker,"New York, New York",Marvel Comics
Spider-Man,Miguel O'Hara,-,Marvel Comics
Spider-Man,Miles Morales,-,Marvel Comics
Spider-Woman,Jessica Drew,"London, England",Marvel Comics
Spider-Woman II,,-,Marvel Comics
Spider-Woman III,Martha Franklin,"Rochester, New York",Marvel Comics
Spider-Woman IV,Charlotte Witter,-,Marvel Comics
Spock,S'chn T'gai Spock,-,Star Trek
Spyke,Evan Daniels,-,Marvel Comics
Stacy X,,-,Marvel Comics
Batgirl,Barbara Gordon,-,Oracle
Star-Lord,Peter Jason Quill,-,Marvel Comics
Stardust,,-,Marvel Comics
Starfire,Koriand'r,Tamaran,DC Comics
Stargirl,Courtney Whitmore,-,DC Comics
Static,Virgil Hawkins,"Paris Island, Dakota City",DC Comics
Steel,John Henry Irons,"Washington, D.C.",DC Comics
Stephanie Powell,Stephanie Powell,-,ABC Studios
Steppenwolf,,-,DC Comics
Storm,Ororo Munroe,"New York, New York",Marvel Comics
Stormtrooper,,-,George Lucas
Batgirl,Mary Elizabeth Kane,-,Hawkfire
Sunspot,Roberto DaCosta,"Rio de Janeiro, Brazil",Marvel Comics
Superboy,Kon-El / Conner Kent,Project Cadmus cloning facility,DC Comics
Superboy-Prime,Kal-El,Krypton (Earth-Prime),DC Comics
Supergirl,Kara Zor-El,"Argo City, Krypton",DC Comics
Superman,Clark Kent,Krypton,Superman Prime One-Million
Swamp Thing,Alec Holland,-,DC Comics
Swarm,Fritz von Meyer,-,Marvel Comics
Sylar,Gabriel Gray,-,NBC - Heroes
Synch,Everett Thomas,-,Marvel Comics
T-1000,Cyberdyne Systems Series 1000 Terminator,-,Dark Horse Comics
Batgirl III,Helena Rosa Bertinelli,-,Huntress
T-800,Cyberdyne Systems Series 800 Terminator Model 101,-,Dark Horse Comics
T-850,Cyberdyne Systems Series 850 Terminator,-,Dark Horse Comics
T-X,Cyberdyne Systems Series X Terminator,-,Dark Horse Comics
Taskmaster,Tony Masters,-,Marvel Comics
Tempest,Angel Salvadore Bohusk,-,Angel Salvadore
Thanos,Thanos,Titan,Marvel Comics
The Cape,Vince Faraday,-,null
The Comedian,Edward Morgen Blake,-,DC Comics
Thing,Ben Grimm,"New York City, New York",Marvel Comics
Thor,Thor Odinson,Asgard,Rune King Thor
Batgirl IV,Cassandra Cain,League of Assassins (exact base is unknown),DC Comics
Thor Girl,Tarene,-,Marvel Comics
Thunderbird,John Proudstar,"Camp Verde, Arizona",Marvel Comics
Thunderbird II,James Proudstar,-,Warpath
Thunderbird III,Neal Shaara,Bangladesh,Marvel Comics
Thunderstrike,Eric Kevin Masterson,-,Marvel Comics
Thundra,Thundra,-,Marvel Comics
Tiger Shark,Todd Arliss,"Pasadena, California",Marvel Comics
Tigra,Greer Grant Nelson,Presumably Chicago Illinois USA,Marvel Comics
Tinkerer,Phineas Mason,-,Marvel Comics
Titan,,-,HarperCollins
Batgirl V,Charlotte Gage-Radcliffe,-,Misfit
Toad,Mortimer Toynbee,"York, England",Marvel Comics
Toxin,Patrick Mulligan,New York City,Marvel Comics
Toxin,Eddie Brock,"San Francisco, California",Anti-Venom
Tracy Strauss,Tracy Strauss,"Beverly Hills, CA",NBC - Heroes
Trickster,Giovanni Giuseppe,-,DC Comics
Trigon,,-,DC Comics
Triplicate Girl,Luornu Durgo,-,DC Comics
Triton,Triton,"Island of Attilan, Atlantic Ocean",Marvel Comics
Two-Face,Harvey Dent,-,DC Comics
Ultragirl,Tsu-Zana,-,Marvel Comics
Batgirl VI,Stephanie Brown,-,Spoiler
Ultron,Ultron,"Created in Cresskill, New Jersey",Marvel Comics
Utgard-Loki,,Jotunheim,Marvel Comics
Vagabond,Priscilla Lyons,-,Marvel Comics
Valerie Hart,,"East Coast, Canada",Team Epic TV
Valkyrie,Brunnhilde (also spelled Brunnhilda),Presumably Asgard,Marvel Comics
Vanisher,,"Boston, Massachusetts",Marvel Comics
Vegeta,Vegeta,-,Shueisha
Venom,Eddie Brock,"New York, New York",Anti-Venom
Venom II,Angelo Fortunato,-,Marvel Comics
Venom III,MacDonald Gargan,-,Scorpion
Batman,Terry McGinnis,"Gotham City, 25th Century",DC Comics
Venompool,Wade Wilson,-,Deadpool
Vertigo II,-,The Savage Land,Blaquesmith
Vibe,Cisco Ramon,-,DC Comics
Vindicator,Heather Hudson,"Calgary, Alberta, Canada",Vindicator II
Vindicator,Dr. James McDonald Hudson,-,Marvel Comics
Violator,,-,Image Comics
Violet Parr,Violet Parr,-,Dark Horse Comics
Vision,Vision,-,Anti-Vision
Vision II,Vision,Place of birth unknown,Anti-Vision
Vixen,Mari McCabe,Zambesi,DC Comics
Adam Monroe,,-,NBC - Heroes
Batman,Bruce Wayne,"Crest Hill, Bristol Township; Gotham County",DC Comics
Vulcan,Gabriel Summers,-,Marvel Comics
Vulture,Adrian Toomes,"Staten Island, New York City",Marvel Comics
Walrus,Hubert Carpent,"Brooklyn, New York",Marvel Comics
War Machine,James Rupert Rhodes,"Philadelphia, Pennsylvania",Marvel Comics
Warbird,Carol Danvers,"Boston, Massachusetts",Binary
Warlock,Adam Warlock,"The Beehive, Shard Island, Atlantic Ocean",Marvel Comics
Warp,Emil LaSalle,-,DC Comics
Warpath,James Proudstar,"Camp Verde, Arizona",Thunderbird II
Wasp,Janet Van Dyne,"Cresskill, New Jersey",Marvel Comics
Watcher,Uatu,-,Marvel Comics
Batman II,Dick Grayson,-,Nightwing
Weapon XI,Weapon XI,-,Marvel Comics
White Canary,,-,DC Comics
White Queen,Emma Grace Frost,"Boston, Massachusetts",Marvel Comics
Wildfire,Drake Burroughs,-,DC Comics
Winter Soldier,Bucky Barnes,-,Marvel Comics
Wiz Kid,Takashi Matsuya,Place of birth unknown,Marvel Comics
Wolfsbane,Rahne Sinclair,"Somewhere in Ross and Cromarty, Scotland",Marvel Comics
Wolverine,Logan,"Alberta, Canada",Marvel Comics
Wonder Girl,Cassandra Elizabeth Sandsmark,-,DC Comics
Wonder Man,Simon Williams,"Paterson, New Jersey",Marvel Comics
Battlestar,Lemar Hoskins,"Chicago, Illinois",Marvel Comics
Wonder Woman,Diana Prince,Themyscira,DC Comics
Wondra,,-,Marvel Comics
Wyatt Wingfoot,Wyatt Wingfoot,"Keewazi Reservation, Oklahoma",Marvel Comics
X-23,Laura Kinney,"The Facility, location unrevealed",Marvel Comics
X-Man,Nate Grey,American Northeast of Earth-295,Marvel Comics
Yellow Claw,,Somewhere in mainland China,Marvel Comics
Yellowjacket,Hank Pym,"Elmsford, New York",Ant-Man
Yellowjacket II,Rita DeMara,-,Marvel Comics
Ymir,Ymir,Niffleheim,Marvel Comics
Yoda,Yoda,-,George Lucas
Batwoman V,Katherine Rebecca Kane,-,DC Comics
Zatanna,Zatanna Zatara,-,DC Comics
Zoom,Hunter Zolomon,-,DC Comics
Beak,Barnell Bohusk,"Cheverly, Maryland",Marvel Comics
Beast,Henry Philip McCoy,"Dunfee, Illinois",Marvel Comics
Beast Boy,Garfield Mark Logan,-,DC Comics
Beetle,,-,Marvel Comics
Ben 10,Benjamin Kirby Tennyson,-,DC Comics
Beta Ray Bill,Beta Ray Bill (translation of his Korbinite name),Burning Galaxy,Marvel Comics
Adam Strange,Adam Strange,"Chicago, Illinois",DC Comics
Beyonder,,Created in the Beyond,Marvel Comics
Big Barda,Barda Free,-,DC Comics
Big Daddy,Damon Macready,-,Icon Comics
Big Man,Frederick Foswell,-,Marvel Comics
Bill Harken,,-,SyFy
Billy Kincaid,Billy Kincaid,-,Image Comics
Binary,Carol Danvers,"Boston, Massachusetts",Captain Marvel
Bionic Woman,Jamie Sommers,-,
Bird-Brain,,-,Marvel Comics
Bird-Man,Henry Hawk,-,Marvel Comics
Agent 13,Sharon Carter,-,Sharon Carter
Bird-Man II,Achille DiBacco,"The Bar with No Name, Medina County, Ohio",Marvel Comics
Birdman,Ray Randal,-,Hanna-Barbera
Bishop,Lucas Bishop,A mutant relocation camp in an undisclosed location on an alternate 21st Century Earth,Marvel Comics
Bizarro,Bizarro,-,DC Comics
Black Abbott,,-,Marvel Comics
Black Adam,Teth-Adam,"Kahndaq, Egypt",DC Comics
Black Bolt,Blackagar Boltagon,"Attilan, Atlantic Ocean",Marvel Comics
Black Canary,Laurel Lance,-,DC Comics
Black Canary,Dinah Drake Lance,-,DC Comics
Black Cat,Felicia Hardy,"Queens, New York",Marvel Comics
